DATE_TIME,TIME,SCATS,DAY,N,E,S,W,NW,SE,SW,COUNT
02-10-06 7:00,700,970,0,1,0,0,0,0,0,0,239
02-10-06 7:45,745,970,0,1,0,0,0,0,0,0,400
02-10-06 8:45,845,970,0,1,0,0,0,0,0,0,367
02-10-06 9:00,900,970,0,1,0,0,0,0,0,0,315
02-10-06 11:30,1130,970,0,1,0,0,0,0,0,0,236
02-10-06 12:30,1230,970,0,1,0,0,0,0,0,0,242
09-10-06 7:00,700,970,0,1,0,0,0,0,0,0,252
09-10-06 7:45,745,970,0,1,0,0,0,0,0,0,371
09-10-06 8:45,845,970,0,1,0,0,0,0,0,0,368
09-10-06 11:15,1115,970,0,1,0,0,0,0,0,0,253
09-10-06 12:15,1215,970,0,1,0,0,0,0,0,0,267
16-10-06 7:15,715,970,0,1,0,0,0,0,0,0,315
16-10-06 7:30,730,970,0,1,0,0,0,0,0,0,361
16-10-06 8:30,830,970,0,1,0,0,0,0,0,0,365
16-10-06 9:15,915,970,0,1,0,0,0,0,0,0,305
16-10-06 9:45,945,970,0,1,0,0,0,0,0,0,284
16-10-06 11:30,1130,970,0,1,0,0,0,0,0,0,265
16-10-06 11:45,1145,970,0,1,0,0,0,0,0,0,254
23-10-06 9:15,915,970,0,1,0,0,0,0,0,0,302
23-10-06 11:15,1115,970,0,1,0,0,0,0,0,0,257
30-10-06 8:45,845,970,0,1,0,0,0,0,0,0,375
30-10-06 11:00,1100,970,0,1,0,0,0,0,0,0,271
30-10-06 11:30,1130,970,0,1,0,0,0,0,0,0,274
30-10-06 12:00,1200,970,0,1,0,0,0,0,0,0,262
02-10-06 7:45,745,970,0,0,1,0,0,0,0,0,370
02-10-06 8:30,830,970,0,0,1,0,0,0,0,0,273
02-10-06 10:30,1030,970,0,0,1,0,0,0,0,0,119
02-10-06 10:45,1045,970,0,0,1,0,0,0,0,0,114
02-10-06 11:30,1130,970,0,0,1,0,0,0,0,0,107
09-10-06 9:15,915,970,0,0,1,0,0,0,0,0,183
09-10-06 9:45,945,970,0,0,1,0,0,0,0,0,163
16-10-06 7:15,715,970,0,0,1,0,0,0,0,0,332
16-10-06 9:15,915,970,0,0,1,0,0,0,0,0,182
16-10-06 10:00,1000,970,0,0,1,0,0,0,0,0,139
16-10-06 10:30,1030,970,0,0,1,0,0,0,0,0,123
16-10-06 11:00,1100,970,0,0,1,0,0,0,0,0,105
