,0,1,2,3,4,5,6
5389,1.0,0.0,0.0,0.0,26-10-06,3:15,4
8298,0.0,0.0,0.0,1.0,25-10-06,10:30,225
3849,1.0,0.0,0.0,0.0,10-10-06,2:15,3
3213,1.0,0.0,0.0,0.0,03-10-06,11:15,143
1738,0.0,0.0,1.0,0.0,19-10-06,2:30,5
2369,0.0,0.0,1.0,0.0,25-10-06,16:15,375
4290,1.0,0.0,0.0,0.0,14-10-06,16:30,160
134,0.0,0.0,1.0,0.0,02-10-06,9:30,302
952,0.0,0.0,1.0,0.0,10-10-06,22:00,124
2754,0.0,0.0,1.0,0.0,29-10-06,16:30,301
9377,0.0,1.0,0.0,0.0,06-10-06,16:15,317
3408,1.0,0.0,0.0,0.0,05-10-06,12:00,118
11611,0.0,1.0,0.0,0.0,29-10-06,22:45,29
5529,1.0,0.0,0.0,0.0,27-10-06,14:15,134
9548,0.0,1.0,0.0,0.0,08-10-06,11:00,191
2506,0.0,0.0,1.0,0.0,27-10-06,2:30,14
11166,0.0,1.0,0.0,0.0,25-10-06,7:30,178
3177,1.0,0.0,0.0,0.0,03-10-06,2:15,3
2476,0.0,0.0,1.0,0.0,26-10-06,19:00,249
8718,0.0,0.0,0.0,1.0,29-10-06,19:30,115
5429,1.0,0.0,0.0,0.0,26-10-06,13:15,134
9940,0.0,1.0,0.0,0.0,12-10-06,13:00,177
6197,0.0,0.0,0.0,1.0,03-10-06,13:15,250
2936,0.0,0.0,1.0,0.0,31-10-06,14:00,291
6600,0.0,0.0,0.0,1.0,07-10-06,18:00,358
11398,0.0,1.0,0.0,0.0,27-10-06,17:30,377
10537,0.0,1.0,0.0,0.0,18-10-06,18:15,281
6961,0.0,0.0,0.0,1.0,11-10-06,12:15,247
9121,0.0,1.0,0.0,0.0,03-10-06,0:15,8
6766,0.0,0.0,0.0,1.0,09-10-06,11:30,249
11164,0.0,1.0,0.0,0.0,25-10-06,7:00,94
7170,0.0,0.0,0.0,1.0,13-10-06,16:30,386
5306,1.0,0.0,0.0,0.0,25-10-06,6:30,160
2472,0.0,0.0,1.0,0.0,26-10-06,18:00,334
1167,0.0,0.0,1.0,0.0,13-10-06,3:45,10
5557,1.0,0.0,0.0,0.0,27-10-06,21:15,67
18,0.0,0.0,1.0,0.0,01-10-06,4:30,15
2954,0.0,0.0,1.0,0.0,31-10-06,18:30,222
6450,0.0,0.0,0.0,1.0,06-10-06,4:30,14
7069,0.0,0.0,0.0,1.0,12-10-06,15:15,337
6230,0.0,0.0,0.0,1.0,03-10-06,21:30,131
3341,1.0,0.0,0.0,0.0,04-10-06,19:15,134
5439,1.0,0.0,0.0,0.0,26-10-06,15:45,137
9597,0.0,1.0,0.0,0.0,08-10-06,23:15,18
7832,0.0,0.0,0.0,1.0,20-10-06,14:00,277
3381,1.0,0.0,0.0,0.0,05-10-06,5:15,19
8779,0.0,0.0,0.0,1.0,30-10-06,10:45,221
